Date,State,Total,Category,lag_1,lag_4,lag_12,rolling_mean_4,rolling_std_4,day_of_week,month,quarter,week_of_year,year,is_holiday,month_sin,month_cos,state_encoded
2023-09-17,Kentucky,180667664.62580645,Beverages,180508301.96451613,180030213.98064518,178755312.69032258,180428620.633871,205736.31103637224,6,9,3,37,2023,0,-1.0,-1.8369701987210297e-16,12
2023-09-24,Kentucky,180827027.28709677,Beverages,180667664.62580645,180189576.6419355,178914675.3516129,180587983.29516128,205736.31103626065,6,9,3,38,2023,0,-1.0,-1.8369701987210297e-16,12
2023-10-01,Kentucky,180986389.94838712,Beverages,180827027.28709677,180348939.30322582,179074038.01290324,180747345.95645162,205736.31103616254,6,10,4,39,2023,0,-0.8660254037844386,0.5000000000000001,12
2023-10-08,Kentucky,181145752.60967743,Beverages,180986389.94838712,180508301.96451613,179233400.67419356,180906708.61774194,205736.31103605675,6,10,4,40,2023,0,-0.8660254037844386,0.5000000000000001,12
2023-10-15,Kentucky,181305115.27096775,Beverages,181145752.60967743,180667664.62580645,179392763.33548388,181066071.27903226,205736.3110359317,6,10,4,41,2023,0,-0.8660254037844386,0.5000000000000001,12
2023-10-22,Kentucky,181464477.93225807,Beverages,181305115.27096775,180827027.28709677,179552125.9967742,181225433.9403226,205736.31103580666,6,10,4,42,2023,0,-0.8660254037844386,0.5000000000000001,12
2023-10-29,Kentucky,181623840.5935484,Beverages,181464477.93225807,180986389.94838712,179711488.6580645,181384796.60161293,205736.31103569508,6,10,4,43,2023,0,-0.8660254037844386,0.5000000000000001,12
2023-11-05,Kentucky,181783203.2548387,Beverages,181623840.5935484,181145752.60967743,179870851.31935483,181544159.2629032,205736.3110355835,6,11,4,44,2023,0,-0.5000000000000004,0.8660254037844384,12
2023-11-12,Kentucky,181942565.91612905,Beverages,181783203.2548387,181305115.27096775,180030213.98064518,181703521.92419356,205736.3110354777,6,11,4,45,2023,0,-0.5000000000000004,0.8660254037844384,12
2023-11-19,Kentucky,182101928.57741937,Beverages,181942565.91612905,181464477.93225807,180189576.6419355,181862884.58548388,205736.31103535264,6,11,4,46,2023,0,-0.5000000000000004,0.8660254037844384,12
2023-11-26,Kentucky,182261291.2387097,Beverages,182101928.57741937,181623840.5935484,180348939.30322582,182022247.2467742,205736.3110352276,6,11,4,47,2023,0,-0.5000000000000004,0.8660254037844384,12
2023-12-03,Kentucky,182420653.9,Beverages,182261291.2387097,181783203.2548387,180508301.96451613,182181609.9080645,205736.31103510255,6,12,4,48,2023,0,-2.4492935982947064e-16,1.0,12
2019-04-07,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,4,2,14,2019,0,0.8660254037844387,-0.4999999999999998,13
2019-04-14,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,4,2,15,2019,0,0.8660254037844387,-0.4999999999999998,13
2019-04-21,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,4,2,16,2019,0,0.8660254037844387,-0.4999999999999998,13
2019-04-28,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,4,2,17,2019,0,0.8660254037844387,-0.4999999999999998,13
2019-05-05,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,5,2,18,2019,0,0.49999999999999994,-0.8660254037844387,13
2019-05-12,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,5,2,19,2019,0,0.49999999999999994,-0.8660254037844387,13
2019-05-19,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,5,2,20,2019,0,0.49999999999999994,-0.8660254037844387,13
2019-05-26,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,5,2,21,2019,0,0.49999999999999994,-0.8660254037844387,13
2019-06-02,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,6,2,22,2019,0,1.2246467991473532e-16,-1.0,13
2019-06-09,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,6,2,23,2019,0,1.2246467991473532e-16,-1.0,13
2019-06-16,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,6,2,24,2019,0,1.2246467991473532e-16,-1.0,13
2019-06-23,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,6,2,25,2019,0,1.2246467991473532e-16,-1.0,13
2019-06-30,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,6,2,26,2019,0,1.2246467991473532e-16,-1.0,13
2019-07-07,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,7,3,27,2019,0,-0.4999999999999997,-0.8660254037844388,13
2019-07-14,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,7,3,28,2019,0,-0.4999999999999997,-0.8660254037844388,13
2019-07-21,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,7,3,29,2019,0,-0.4999999999999997,-0.8660254037844388,13
2019-07-28,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,7,3,30,2019,0,-0.4999999999999997,-0.8660254037844388,13
2019-08-04,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,8,3,31,2019,0,-0.8660254037844385,-0.5000000000000004,13
2019-08-11,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,8,3,32,2019,0,-0.8660254037844385,-0.5000000000000004,13
2019-08-18,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,8,3,33,2019,0,-0.8660254037844385,-0.5000000000000004,13
2019-08-25,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,8,3,34,2019,0,-0.8660254037844385,-0.5000000000000004,13
2019-09-01,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,9,3,35,2019,0,-1.0,-1.8369701987210297e-16,13
2019-09-08,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,9,3,36,2019,0,-1.0,-1.8369701987210297e-16,13
2019-09-15,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,9,3,37,2019,0,-1.0,-1.8369701987210297e-16,13
2019-09-22,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,9,3,38,2019,0,-1.0,-1.8369701987210297e-16,13
2019-09-29,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,9,3,39,2019,0,-1.0,-1.8369701987210297e-16,13
2019-10-06,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,10,4,40,2019,0,-0.8660254037844386,0.5000000000000001,13
2019-10-13,Louisiana,109354746.7,Beverages,109354746.7,109354746.7,109354746.7,109354746.7,0.0,6,10,4,41,2019,0,-0.8660254037844386,0.5000000000000001,13
2019-10-20,Louisiana,100499698.5,Beverages,109354746.7,109354746.7,109354746.7,107140984.65,4427524.100000002,6,10,4,42,2019,0,-0.8660254037844386,0.5000000000000001,13
2019-10-27,Louisiana,94643763.7,Beverages,100499698.5,109354746.7,109354746.7,103463238.89999999,7210766.090154569,6,10,4,43,2019,0,-0.8660254037844386,0.5000000000000001,13
2019-11-03,Louisiana,95470455.60000001,Beverages,94643763.7,109354746.7,109354746.7,99992166.125,6756892.251784647,6,11,4,44,2019,0,-0.5000000000000004,0.8660254037844384,13
2019-11-10,Louisiana,96297147.5,Beverages,95470455.60000001,109354746.7,109354746.7,96727766.325,2603638.614545137,6,11,4,45,2019,0,-0.5000000000000004,0.8660254037844384,13
2019-11-17,Louisiana,97123839.4,Beverages,96297147.5,100499698.5,109354746.7,95883801.55000001,1067254.6537148668,6,11,4,46,2019,0,-0.5000000000000004,0.8660254037844384,13
2019-11-24,Louisiana,98028446.1,Beverages,97123839.4,94643763.7,109354746.7,96729972.15,1097707.4787669503,6,11,4,47,2019,0,-0.5000000000000004,0.8660254037844384,13
2019-12-01,Louisiana,97672036.76666667,Beverages,98028446.1,95470455.60000001,109354746.7,97280367.44166666,753712.8146092895,6,12,4,48,2019,0,-2.4492935982947064e-16,1.0,13
2019-12-08,Louisiana,97315627.43333334,Beverages,97672036.76666667,96297147.5,109354746.7,97534987.425,399768.88756273664,6,12,4,49,2019,0,-2.4492935982947064e-16,1.0,13
2019-12-15,Louisiana,96959218.10000001,Beverages,97315627.43333334,97123839.4,109354746.7,97493832.1,460122.47081096726,6,12,4,50,2019,0,-2.4492935982947064e-16,1.0,13
2019-12-22,Louisiana,100853710.19999999,Beverages,96959218.10000001,98028446.1,109354746.7,98200148.125,1792816.9151377375,6,12,4,51,2019,0,-2.4492935982947064e-16,1.0,13
2019-12-29,Louisiana,90497588.9,Beverages,100853710.19999999,97672036.76666667,109354746.7,96406536.15833333,4313734.612976103,6,12,4,52,2019,0,-2.4492935982947064e-16,1.0,13
2020-01-05,Louisiana,91335647.23333333,Beverages,90497588.9,97315627.43333334,109354746.7,94911541.10833333,4891228.396455324,6,1,1,1,2020,0,0.49999999999999994,0.8660254037844387,13
2020-01-12,Louisiana,92173705.56666668,Beverages,91335647.23333333,96959218.10000001,100499698.5,93715162.975,4807973.430258402,6,1,1,2,2020,0,0.49999999999999994,0.8660254037844387,13
2020-01-19,Louisiana,93011763.9,Beverages,92173705.56666668,100853710.19999999,94643763.7,91754676.4,1081928.656050098,6,1,1,3,2020,0,0.49999999999999994,0.8660254037844387,13
2020-01-26,Louisiana,88883700.1,Beverages,93011763.9,90497588.9,95470455.60000001,91351204.20000002,1781645.8232171414,6,1,1,4,2020,0,0.49999999999999994,0.8660254037844387,13
2020-02-02,Louisiana,93133150.60000001,Beverages,88883700.1,91335647.23333333,96297147.5,91800580.04166667,1990822.4333281508,6,2,1,5,2020,0,0.8660254037844386,0.5000000000000001,13
2020-02-09,Louisiana,93689992.35000001,Beverages,93133150.60000001,92173705.56666668,97123839.4,92179651.73750001,2217054.8553035385,6,2,1,6,2020,0,0.8660254037844386,0.5000000000000001,13
2020-02-16,Louisiana,94246834.10000001,Beverages,93689992.35000001,93011763.9,98028446.1,92488419.28750001,2445777.2700032485,6,2,1,7,2020,0,0.8660254037844386,0.5000000000000001,13
2020-02-23,Louisiana,92767324.9,Beverages,94246834.10000001,88883700.1,97672036.76666667,93459325.48750001,647722.1334680212,6,2,1,8,2020,0,0.8660254037844386,0.5000000000000001,13
2020-03-01,Louisiana,102243598.2,Beverages,92767324.9,93133150.60000001,97315627.43333334,95736937.38750002,4380472.769340577,6,3,1,9,2020,0,1.0,6.123233995736766e-17,13
2020-03-08,Louisiana,111719871.5,Beverages,102243598.2,93689992.35000001,96959218.10000001,100244407.17500001,8709395.087411286,6,3,1,10,2020,0,1.0,6.123233995736766e-17,13
2020-03-15,Louisiana,121196144.8,Beverages,111719871.5,94246834.10000001,100853710.19999999,106981734.85,12233816.225003315,6,3,1,11,2020,0,1.0,6.123233995736766e-17,13
2020-03-22,Louisiana,111529226.7,Beverages,121196144.8,92767324.9,90497588.9,111672210.30000001,7737931.902698753,6,3,1,12,2020,0,1.0,6.123233995736766e-17,13
2020-03-29,Louisiana,97224311.9,Beverages,111529226.7,102243598.2,91335647.23333333,110417388.725,9885536.63518111,6,3,1,13,2020,0,1.0,6.123233995736766e-17,13
2020-04-05,Louisiana,98877404.83333334,Beverages,97224311.9,111719871.5,92173705.56666668,107206772.05833334,11305073.094503,6,4,2,14,2020,0,0.8660254037844387,-0.4999999999999998,13
2020-04-12,Louisiana,100530497.76666667,Beverages,98877404.83333334,121196144.8,93011763.9,102040360.30000001,6468304.25747662,6,4,2,15,2020,0,0.8660254037844387,-0.4999999999999998,13
2020-04-19,Louisiana,102183590.7,Beverages,100530497.76666667,111529226.7,88883700.1,99703951.3,2134133.8001776305,6,4,2,16,2020,0,0.8660254037844387,-0.4999999999999998,13
2020-04-26,Louisiana,102360001.9,Beverages,102183590.7,97224311.9,93133150.60000001,100987873.80000001,1630515.922735785,6,4,2,17,2020,0,0.8660254037844387,-0.4999999999999998,13
2020-05-03,Louisiana,104786949.76666667,Beverages,102360001.9,98877404.83333334,93689992.35000001,102465260.03333333,1753469.430809907,6,5,2,18,2020,0,0.49999999999999994,-0.8660254037844387,13
2020-05-10,Louisiana,107213897.63333334,Beverages,104786949.76666667,100530497.76666667,94246834.10000001,104136110.0,2370883.148922286,6,5,2,19,2020,0,0.49999999999999994,-0.8660254037844387,13
2020-05-17,Louisiana,109640845.5,Beverages,107213897.63333334,102183590.7,92767324.9,106000423.7,3133176.223237785,6,5,2,20,2020,0,0.49999999999999994,-0.8660254037844387,13
2020-05-24,Louisiana,114631357.1,Beverages,109640845.5,102360001.9,102243598.2,109068262.5,4204924.914104329,6,5,2,21,2020,0,0.49999999999999994,-0.8660254037844387,13
2020-05-31,Louisiana,109870800.8,Beverages,114631357.1,104786949.76666667,111719871.5,110339225.25833333,3103612.103654354,6,5,2,22,2020,0,0.49999999999999994,-0.8660254037844387,13
2020-06-07,Louisiana,111696471.80000001,Beverages,109870800.8,107213897.63333334,121196144.8,111459868.8,2305667.0684215273,6,6,2,23,2020,0,1.2246467991473532e-16,-1.0,13
2020-06-14,Louisiana,113522142.80000001,Beverages,111696471.80000001,109640845.5,111529226.7,112430193.125,2091754.6855528387,6,6,2,24,2020,0,1.2246467991473532e-16,-1.0,13
